entrez_human	ensembl_gene_id	gene_symbol	entrez_rat	entrez_mouse	Unirprot_Human	Uniprot_Rat	Uniprot_mouse	gene_name	synonym	DbTF	pubmed_id	evidence.type	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi.et.al	TcoF.DB	TFCat	TFClass_human	TFclass_mouse	Vaquerizas.et.al	pubmed_id.1	taxon	pubmed_id.2	taxon.1	pubmed_id.3	taxon.2	pubmed_id.4	taxon.3	pubmed_id.5	taxon.4	pubmed_id.6	taxon.5	GOC981.select_EC
6670	ENSG00000172845	SP3	367846	20687	B7ZLN9,Q02447,Q59FX5,Q86TP0	0	O70494	Sp3 transcription factor	SPR2	yes	12591615, 12591615	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	12591615	10090	12591615	generic	0	0	0	0	0	0	0	0	981
5083	ENSG00000198807	PAX9	362741	18511	P55771,Q2L4T1	Q2L4T2	P47242,Q3V1K1	paired box 9	STHAG3	yes	12490554, 12490554, 14607846, 14607846	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	14607846	9606	14607846	9606	12490554	10090	12490554	10090	0	0	0	0	981
4776	ENSG00000100968	NFATC4	305897	73181	Q14934	D3Z9H7	Q8K120	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	NF-ATC4|NFAT3	yes	11997522, 16644691	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16644691	10090	11997522	9606	0	0	0	0	0	0	0	0	981
4776	ENSG00000285485	NFATC4	305897	73181	Q14934	D3Z9H7	Q8K120	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	NF-ATC4|NFAT3	yes	11997522, 16644691	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16644691	10090	11997522	9606	0	0	0	0	0	0	0	0	981
148327	ENSG00000143578	CREB3L4	310616	78284	Q8TEY5	Q5UEM7	Q9D2A5	cAMP responsive element binding protein 3-like 4	AIBZIP|ATCE1|CREB3|CREB4|JAL|HJAL	yes	11956138, 15938716	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15938716	10090	11956138	10090	0	0	0	0	0	0	0	0	981
4086	ENSG00000170365	SMAD1	25671	17125	Q15797	Q6P7A6	P70340	SMAD family member 1	BSP-1|BSP1|JV4-1|JV41|MADH1|MADR1	yes	11786386, 11788714	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	11788714	10090	11786386	9606	0	0	0	0	0	0	0	0	981
83741	ENSG00000008197	TFAP2D	301284	226896	Q7Z6R9	D3ZYF2	Q91ZK0	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	TFAP2BL1	yes	11522791, 11522791	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	11522791	10090	11522791	10090	0	0	0	0	0	0	0	0	981
326	ENSG00000160224	AIRE	294328	11634	O43918	D3ZV49	B2MVU6,Q3ZB65,Q3ZB71,Q9Z0E3	autoimmune regulator	AIRE1|APECED|APS1|APSI|PGA1	yes	11274163, 11533054	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	11533054	9606	11274163	9606	0	0	0	0	0	0	0	0	981
59348	ENSG00000256683	ZNF350	0	0	Q9GZX5	0	0	zinc finger protein 350	ZBRK1|ZFQR	yes	11090615, 12097288	Experimental	0	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	0	Vaquerizas et al	12097288	9606	11090615	9606	0	0	0	0	0	0	0	0	981
6945	ENSG00000108788	MLX	360631	21428	Q9UH92	A2VCV8,Q2I1Z0	A2BFB0,A2BFB1,A2BFB2,O08609,Q3UQB4	MLX, MAX dimerization protein	MAD7|MXD7|TCFL4|BHLHD13	yes	10918583, 14742444	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	14742444	10116	10918583	9606	0	0	0	0	0	0	0	0	981
3087	ENSG00000152804	HHEX	79237	15242	Q03014	Q9WV22	P43120	hematopoietically expressed homeobox	HEX|HMPH|HOX11L-PEN|PRH|PRHX	yes	10871399, 18755198	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	18755198	9606	10871399	9606	0	0	0	0	0	0	0	0	981
50674	ENSG00000122859	NEUROG3	60329	11925	Q9Y4Z2	O08718	P70661,Q548G3	neurogenin 3	ATOH5|MATH4B|NGN-3|BHLHA7|NGN3	yes	10757813, 14576336, 16511571	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16511571	9606;10090	14576336	9606;10090;10116	10757813	10090	0	0	0	0	0	0	981
7030	ENSG00000068323	TFE3	317376	209446	B4DIA5,P19532	D3ZAW6,F1LY64	A2AEW0,A2AEW1,Q3U1L5,Q64092,Q8K420	transcription factor binding to IGHM enhancer 3	RCCP2|RCCX1|TFEA|BHLHE33	yes	10707962, 15994295	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15994295	10090	10707962	10090	0	0	0	0	0	0	0	0	981
2735	ENSG00000111087	GLI1	140589	14632	B4DNF7,P08151	G3V6X8	P47806	GLI family zinc finger 1	GLI	yes	10559945, 11719506	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	11719506	9606	10559945	9606	0	0	0	0	0	0	0	0	981
2737	ENSG00000106571	GLI3	140588	14634	P10071	0	B2RUG4,Q3TYX7,Q61602	GLI family zinc finger 3	ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	yes	10433919, 16396903	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16396903	10090	10433919	9606;10116	0	0	0	0	0	0	0	0	981
140628	ENSG00000130700	GATA5	499951	14464	Q9BWX5	Q5U2V0	P97489	GATA binding protein 5	BB379O24.1	yes	10212267, 11408257	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	11408257	9606;10090;10116	10212267	10090;10116	0	0	0	0	0	0	0	0	981
9603	ENSG00000050344	NFE2L3	312331	18025	Q9Y4A8	D4A7S7	Q3UZC1,Q9WTM4	nuclear factor (erythroid-derived 2)-like 3	NRF3	yes	10037736, 15385560	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15385560	10090	10037736	10090	0	0	0	0	0	0	0	0	981
2852	ENSG00000164850	GPER1	171104	76854	Q63ZY2,Q99527	G3V654,O08878	Q8BMP4	G protein-coupled estrogen receptor 1	CEPR|CMKRL2| DRY12| FEG-1| GPCR-Br| GPER| GPR30| LERGU| LERGU2| LyGPR| mER	yes	23283935	Experimental	0	0	GOC	0	0	0	0	0	0	0	0	23283935	10116	0	0	0	0	0	0	0	0	0	0	981
138151	ENSG00000148411	NACC2	296583	67991	Q96BF6	G3V8D3,Q562B4	Q9DCM7	NACC family member 2, BEN and BTB (POZ) domain containing	BEND9|BTBD14|BTBD14A	yes	22926524	0	0	0	GOC	0	ORFeome	0	0	0	0	0	0	22926524	9606	0	0	0	0	0	0	0	0	0	0	981
2033	ENSG00000100393	EP300	170915	328572	Q09472,Q7Z6C1	0	B2RWS6,Q8BJ14	E1A binding protein p300	KAT3B|RSTS2|P300	yes	22780989	0	0	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	0	22780989	10090	0	0	0	0	0	0	0	0	0	0	981
5885	ENSG00000164754	RAD21	314949	19357	O60216	Q4KLH7	Q3TG35,Q61550	RAD21 homolog (S. pombe)	CDLS4|HR21|HRAD21|MCD1|NXP1|SCC1|HHR21	yes	22780989	0	0	0	GOC	0	0	0	TcoF-DB	0	0	0	0	22780989	10090	0	0	0	0	0	0	0	0	0	0	981
10274	ENSG00000118007	STAG1	315958	20842	Q8WVM7	D4A3Q2	F8WHU7,Q9D3E6	stromal antigen 1 	0	yes	22780989	0	0	0	GOC	0	0	0	0	0	0	0	0	22780989	10090	0	0	0	0	0	0	0	0	0	0	981
10735	ENSG00000101972	STAG2	313304	20843	Q6AI02,Q6MZM3,Q6MZP3,Q8N3U4	D3ZXT2	A2AFF6,O35638,Q3TG33	stromal antigen 2 	0	yes	22780989	0	0	0	GOC	0	0	0	0	0	0	0	0	22780989	10090	0	0	0	0	0	0	0	0	0	0	981
54927	ENSG00000106554	CHCHD3	0	0	A4D1N4,Q9NX63	0	0	coiled-coil-helix-coiled-coil-helix domain containing 3	MINOS3|PPP1R22	yes	22567091	0	0	0	GOC	0	0	0	0	0	0	0	0	22567091	9606	0	0	0	0	0	0	0	0	0	0	981
79755	ENSG00000141579	ZNF750	0	319530	Q32MQ0	0	Q8BH05	zinc finger protein 750	ZFP750	yes	22364861	0	0	0	GOC	0	0	0	TcoF-DB	0	0	0	Vaquerizas et al	22364861	9606	0	0	0	0	0	0	0	0	0	0	981
54937	ENSG00000120669	SOHLH2	619575	74434	Q9NX45	Q3MHT3	Q9D489	spermatogenesis and oogenesis specific basic helix-loop-helix 2	SPATA28|TEB1|BHLHE81	yes	22328502	Experimental	AnimalTFDB	DBD	GOC	0	0	0	0	0	TFclass	TFclass_mouse	Vaquerizas et al	22328502	9606	0	0	0	0	0	0	0	0	0	0	981
343472	ENSG00000143032	BARHL2	65050	104382	Q9NY43	O88181	Q7TNS3,Q8VIB5	BarH-like homeobox 2	0	yes	22307612	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	22307612	10090	0	0	0	0	0	0	0	0	0	0	981
27319	ENSG00000180828	BHLHE22	365748	59058	B4DF88,Q8NFJ8	0	Q8C6A8	basic helix-loop-helix family, member e22	BHLHB5|BETA3|CAGL85|TNRC20	yes	22284184	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	0	TcoF-DB	0	TFclass	TFclass_mouse	Vaquerizas et al	22284184	10090	0	0	0	0	0	0	0	0	0	0	981
93649	ENSG00000141052	MYOCD	246297	214384	Q8IZQ8	Q8R5I7	Q8VIM5	myocardin	MYCD	yes	22157009	0	0	0	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	0	22157009	9606	0	0	0	0	0	0	0	0	0	0	981
138715	ENSG00000205143	ARID3C	502946	550619	A6NKF2	D3ZQB1	A6PWV5,B7ZP08	AT rich interactive domain 3C (BRIGHT-like)	0	yes	21955986	Experimental	AnimalTFDB	0	GOC	0	0	0	0	TFCat	TFclass	TFclass_mouse	0	21955986	10090	0	0	0	0	0	0	0	0	0	0	981
23109	ENSG00000181418	DDN	25113	13199	O94850	P50617	Q80TS7	dendrin	0	yes	21911934	0	0	0	GOC	0	0	0	0	0	0	0	0	21911934	10116	0	0	0	0	0	0	0	0	0	0	981
7764	ENSG00000171940	ZNF217	311764	228913	H0UI66,O75362	D4AB75	Q3U0X6	zinc finger protein 217	ZABC1	yes	21908891	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21908891	9606	0	0	0	0	0	0	0	0	0	0	981
343930	ENSG00000151379	MSGN1	689864	56184	A6NI15	D3ZVR2	Q9JK54	mesogenin 1	MSOG	yes	21750544	0	AnimalTFDB	DBD	GOC	0	0	0	0	0	TFclass	TFclass_mouse	Vaquerizas et al	21750544	10090	0	0	0	0	0	0	0	0	0	0	981
80709	ENSG00000106948	AKNA	362530	100182	Q64FY1,Q7Z591	D3ZLV5	Q80VW7	AT-hook transcription factor	0	yes	21606955	Experimental	0	0	GOC	0	0	0	0	0	0	0	Vaquerizas et al	21606955	9606	0	0	0	0	0	0	0	0	0	0	981
1387	ENSG00000005339	CREBBP	54244	12914	Q92793	F1M9G7	F8VPR5,Q6GQV9	CREB binding protein	CBP|KAT3A|RSTS	yes	21539536	0	0	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	0	0	21539536	9606	0	0	0	0	0	0	0	0	0	0	981
1046	ENSG00000131264	CDX4	302400	12592	O14627	D3ZF67	Q07424,Q78Z64	caudal type homeobox 4	0	yes	21471217	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21471217	9606;10090	0	0	0	0	0	0	0	0	0	0	981
155061	ENSG00000181220	ZNF746	312303	69228	Q6NUN9	F1LSG4	Q3U133	zinc finger protein 746	PARIS	yes	21376232	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	0	TcoF-DB	0	TFclass	TFclass_mouse	Vaquerizas et al	21376232	9606	0	0	0	0	0	0	0	0	0	0	981
26508	ENSG00000163909	HEYL	313575	56198	Q9NQ87	D3ZIH3	Q9DBX7	hairy/enhancer-of-split related with YRPW motif-like	HEY3|HRT3|BHLHB33	yes	21259317	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21259317	10090	0	0	0	0	0	0	0	0	0	0	981
54862	ENSG00000132024	CC2D1A	0	0	Q6P1N0	0	0	coiled-coil and C2 domain containing 1A	FREUD-1|FREUD-1/AKI1|MRT3	yes	21155902	0	0	0	GOC	0	0	0	0	0	0	0	0	21155902	10090	0	0	0	0	0	0	0	0	0	0	981
200014	ENSG00000154222	CC2D1B	0	0	Q5T0F9	0	0	coiled-coil and C2 domain containing 1B	0	yes	21155902	0	0	0	GOC	0	0	0	0	0	0	0	0	21155902	10090	0	0	0	0	0	0	0	0	0	0	981
84662	ENSG00000126603	GLIS2	302946	83396	Q9BZE0	D3ZIA9	Q8VDL9	GLIS family zinc finger 2	NKL|NPHP7	yes	21127075	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21127075	9606;10090	0	0	0	0	0	0	0	0	0	0	981
84662	ENSG00000274636	GLIS2	302946	83396	Q9BZE0	D3ZIA9	Q8VDL9	GLIS family zinc finger 2	NKL|NPHP7	yes	21127075	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21127075	9606;10090	0	0	0	0	0	0	0	0	0	0	981
2736	ENSG00000074047	GLI2	304729	14633	P10070,Q1PSW9,Q59FV5	F1M2B7	Q0VGT2	GLI family zinc finger 2	HPE9|THP1|THP2	yes	21095584	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21095584	9606	0	0	0	0	0	0	0	0	0	0	981
56917	ENSG00000105419	MEIS3	361514	17537	Q99687	B1H242,D4A9U2	P97368	Meis homeobox 3	MRG2	yes	21059917	0	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21059917	10090	0	0	0	0	0	0	0	0	0	0	981
5629	ENSG00000117707	PROX1	305066	19130	Q92786	D3ZU00	P48437	prospero homeobox 1	0	yes	21040746	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21040746	10090	0	0	0	0	0	0	0	0	0	0	981
2303	ENSG00000176692	FOXC2	171356	14234	Q99958	Q63246	B9EI61,Q61850	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	FKHL14|LD|MFH-1|MFH1	yes	20956529	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20956529	9606	0	0	0	0	0	0	0	0	0	0	981
57623	ENSG00000066827	ZFAT	362925	380993	B7Z6H1,E9PBN4,Q4KMQ4,Q6PJQ2,Q9P243	D4A2U0	Q7TS63	zinc finger and AT hook domain containing	AITD3|ZFAT1|ZNF406	yes	20660741	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	0	TcoF-DB	0	TFclass	TFclass_mouse	Vaquerizas et al	20660741	10090	0	0	0	0	0	0	0	0	0	0	981
8531	ENSG00000060138	YBX3	83807	56449	P16989	Q62764	Q68G78,Q9JKB3	cold shock domain protein A	CSDA|CSDA1|DBPA|ZONAB	yes	20636440	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	0	TFclass_mouse	Vaquerizas et al	20636440	9606	0	0	0	0	0	0	0	0	0	0	981
51193	ENSG00000121864	ZNF639	683504	67778	Q9UID6	Q5PPG4	Q99KZ6	zinc finger protein 639	6230400O18RIK|ANC-2H01|ANC_2H01|ZASC1	yes	20484494	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20484494	9606	0	0	0	0	0	0	0	0	0	0	981
55079	ENSG00000153266	FEZF2	305719	54713	Q8TBJ5	B4F7C0	Q9ESP5	FEZ family zinc finger 2	FEZ|FEZL|TOF|ZFP312|ZNF312	yes	20431123	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	0	0	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20431123	10090	0	0	0	0	0	0	0	0	0	0	981
3190	ENSG00000165119	HNRNPK	117282	15387	B4DUQ1,P61978,Q6IBN1	P61980,Q5D059	B2M1R6,P61979,Q5FWJ5	heterogeneous nuclear ribonucleoprotein K	CSBP|HNRPK|TUNP	yes	20371611	Experimental	0	0	GOC	0	0	Ravasi et al	0	TFCat	0	0	0	20371611	9606	0	0	0	0	0	0	0	0	0	0	981
51341	ENSG00000178951	ZBTB7A	117107	16969	O95365,Q8TB76	G3V8P6,Q9QZ48	O88939	zinc finger and BTB domain containing 7A	FBI-1|FBI1|LRF|ZBTB7|ZNF857A|POKEMON	yes	20336405	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20336405	9606	0	0	0	0	0	0	0	0	0	0	981
10014	ENSG00000108840	HDAC5	84580	15184	Q9UQL6	0	B7ZDF5,B7ZDF7,Q3UJF1,Q6P9T4	histone deacetylase 5	HD5|NY-CO-9	yes	20181743	0	0	0	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	0	20181743	10090	0	0	0	0	0	0	0	0	0	0	981
5467	ENSG00000112033	PPARD	25682	19015	F1D8S7,Q03181	Q99ND3	P35396,Q546I3	peroxisome proliferator-activated receptor delta	FAAR|NR1C2|NUC1|NUCI|NUCII|PPARB	yes	20160399	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20160399	9606	0	0	0	0	0	0	0	0	0	0	981
28999	ENSG00000163884	KLF15	85497	66277	Q9UIH9	Q5FVT6,Q9WTQ3	Q9EPW2	Kruppel-like factor 15	KKLF	yes	20141633	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20141633	9606	0	0	0	0	0	0	0	0	0	0	981
168620	ENSG00000180535	BHLHA15	25334	17341	Q7RTS1	P70562	Q9QYC3	basic helix-loop-helix family, member a15	BHLHB8|MIST1	yes	20038531	Experimental	AnimalTFDB	DBD	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20038531	9606	0	0	0	0	0	0	0	0	0	0	981
7832	ENSG00000159388	BTG2	29619	12227	P78543	P27049	Q04211,Q3TF68	BTG family, member 2	PC3|TIS21	yes	20020054	0	0	0	GOC	0	0	Ravasi et al	0	TFCat	0	0	0	20020054	10116	0	0	0	0	0	0	0	0	0	0	981
6299	ENSG00000103449	SALL1	307740	58198	Q9NSC2	D3ZIF4	Q6P5E3	sal-like 1 (Drosophila)	HSAL1|SAL-1|TBS|ZNF794	yes	19942929	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19942929	10090	0	0	0	0	0	0	0	0	0	0	981
6304	ENSG00000182568	SATB1	316164	20230	Q01826	Q5U2Y2	E9PVB7,Q60611	SATB homeobox 1	0	yes	19933152	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19933152	10090	0	0	0	0	0	0	0	0	0	0	981
5449	ENSG00000064835	POU1F1	25517	18736	P28069	P10037,Q6P7Q8	F8WGJ8,Q00286	POU class 1 homeobox 1	CPHD1|GHF-1|PIT1|POU1F1A|PIT-1	yes	19887646	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19887646	10116	0	0	0	0	0	0	0	0	0	0	981
7291	ENSG00000122691	TWIST1	85489	22160	Q15672	Q9EPJ1	P26687	twist basic helix-loop-helix transcription factor 1	ACS3|BPES2|BPES3|CRS1|SCS|TWIST|BHLHA38	yes	19802001	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19802001	10090	0	0	0	0	0	0	0	0	0	0	981
84619	ENSG00000197114	ZGPAT	296478	229007	Q8N5A5	Q5PPF5	Q8VDM1	zinc finger, CCCH-type with G patch domain	GPATC6|GPATCH6|KIAA1847|ZC3H9|ZC3HDC9|ZIP	yes	19644445	Experimental	0	0	GOC	0	0	0	0	0	TFclass	TFclass_mouse	Vaquerizas et al	19644445	9606	0	0	0	0	0	0	0	0	0	0	981
4781	ENSG00000147862	NFIB	29227	18028	O00712,Q5VW26,Q5VW27,Q5VW28,Q5VW30	O70185,O70186,O70187	P97863,Q6GSP7	nuclear factor I/B	CTF|HMGIC/NFIB|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3	yes	19540848	Experimental	AnimalTFDB	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19540848	9606	0	0	0	0	0	0	0	0	0	0	981
657	ENSG00000107779	BMPR1A	0	0	P36894	0	0	bone morphogenetic protein receptor, type IA	10Q23DEL|ACVRLK3|ALK3|CD292|SKR5	yes	19416967	0	0	0	GOC	0	0	0	0	0	0	0	0	19416967	10090	0	0	0	0	0	0	0	0	0	0	981
9745	ENSG00000198597	ZNF536	292820	243937	O15090	0	Q8K083	zinc finger protein 536	0	yes	19398580	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	0	TcoF-DB	0	TFclass	TFclass_mouse	Vaquerizas et al	19398580	9606	0	0	0	0	0	0	0	0	0	0	981
116039	ENSG00000164920	OSR2	315039	107587	Q8N2R0	Q6AY34	Q91ZD1	odd-skipped related 2 (Drosophila)	0	yes	19389375	Author statement	AnimalTFDB	DBD	GOC	0	ORFeome	0	TcoF-DB	0	TFclass	TFclass_mouse	Vaquerizas et al	19389375	10090	0	0	0	0	0	0	0	0	0	0	981
169792	ENSG00000107249	GLIS3	0	226075	Q1PHJ8,Q8NEA6	0	Q0GE24,Q6XP49	GLIS family zinc finger 3	ZNF515	yes	19264802	Experimental	AnimalTFDB	DBD	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19264802	10090	0	0	0	0	0	0	0	0	0	0	981
283078	ENSG00000150051	MKX	291228	210719	Q8IYA7	0	B2RQ30,Q8BIA3	mohawk homeobox	C10ORF48|IFRX|IRXL1	yes	19235719	Experimental	AnimalTFDB	DBD	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19235719	10090	0	0	0	0	0	0	0	0	0	0	981
3159	ENSG00000137309	HMGA1	117062	15361	P17096,Q5T6U8	Q8K585	P17095,Q3TE85,Q3TVP0,Q566K0	high mobility group AT-hook 1	HMG-R|HMGA1A|HMGIY	yes	19223528	Experimental	AnimalTFDB	0	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19223528	9606;10090	0	0	0	0	0	0	0	0	0	0	981
4617	ENSG00000111049	MYF5	299766	17877	P13349	D3ZVU3	A2RSK4,P24699	myogenic factor 5	BHLHC2	yes	19192046	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19192046	9606	0	0	0	0	0	0	0	0	0	0	981
3428	ENSG00000163565	IFI16	0	15951	Q16666	0	E9QKL6,P15092,Q08619	interferon, gamma-inducible protein 16	IFNGIP1|PYHIN2	yes	19170058	Experimental	0	0	GOC	0	0	Ravasi et al	TcoF-DB	TFCat	0	0	Vaquerizas et al	19170058	9606	0	0	0	0	0	0	0	0	0	0	981
8939	ENSG00000107164	FUBP3	362106	320267	Q96I24	Q2QC85	A2AJ72,Q3TIX6,Q8BYI4	far upstream element (FUSE) binding protein 3	FBP3	yes	19087307	Author statement	0	0	GOC	0	ORFeome	Ravasi et al	0	TFCat	0	0	0	19087307	9606	0	0	0	0	0	0	0	0	0	0	981
53335	ENSG00000119866	BCL11A	305589	14025	D6W5D9,D9YZV9,Q9H165	D3ZSY3	Q3TP99,Q3US10,Q5STS9,Q9QYE3	B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A-L|BCL11A-S|BCL11A-XL|BCL11A-M|CTIP1|EVI9|HBFQTL5|ZNF856	yes	19056937	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19056937	9606	0	0	0	0	0	0	0	0	0	0	981
2516	ENSG00000136931	NR5A1	83826	26423	F1D8R8,Q13285	P50569	P33242	nuclear receptor subfamily 5, group A, member 1	AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3	yes	19022561	Experimental	AnimalTFDB	DBD	GOC	0	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19022561	9606	0	0	0	0	0	0	0	0	0	0	981
